LSOA21CD,LSOA21NM,Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport)
E01011393,Leeds 103C,61.68,52.33,55.61,56.91,56.58,61.2,58.1
E01011394,Leeds 103D,58.92,53.21,56.22,55.98,55.65,58.95,56.86
E01011395,Leeds 103E,59.9,47.94,53.41,51.7,53.92,59.7,55.12
E01011396,Leeds 074A,69.87,70.91,74.4,70.48,91.52,68.88,76.08
E01011397,Leeds 077A,69.93,67.37,65.25,65.68,78.31,68.64,71.02
E01011398,Leeds 077B,67.06,59.22,57.01,58.69,67.97,65.06,64.44
E01011399,Leeds 074B,67.47,67.6,68.61,66.41,84.09,66.16,71.81
E01011400,Leeds 074C,71.43,71.26,71.89,70.18,87.6,70.26,75.59
E01011401,Leeds 077C,66.59,68.77,61.07,59.62,73.76,64.88,67.66
E01011402,Leeds 087D,66.73,65.93,64.74,62.53,75.68,65.82,68.39
E01011403,Leeds 074D,69.61,71.9,70.54,67.77,85.21,68.42,73.95
E01011404,Leeds 077D,66.5,67.17,60.34,59.13,71.47,64.98,66.69
E01011405,Leeds 077E,65.53,69.62,62.05,60.09,75.62,64.4,68.02
E01011406,Leeds 057A,71.26,80.04,77.68,78,88.52,70.86,78.74
E01011407,Leeds 057B,69.64,78.91,71.66,74.84,82.95,68.95,75.76
E01011408,Leeds 057C,72.52,75.41,80.02,79.57,89.49,72.07,79.03
E01011409,Leeds 057D,72.59,78.2,82.55,81.93,91.6,72.35,80.55
E01011410,Leeds 057E,69.52,70.23,68.43,70.37,76.45,68.78,71.78
