LSOA21CD,LSOA21NM,nearest_any_core_bus_network_m,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,walking_access_percentile,service_frequency_percentile,route_availability_percentile,ptal_inspired_score
E01011512,Leeds 023C,99.4964978861012,4.52916666666667,11,88.2956878850103,78.8501026694045,91.6837782340862,86.2765229295004
E01011513,Leeds 031A,385.648821580372,1.66666666666667,1,29.3634496919918,28.3367556468173,5.74948665297741,21.1498973305955
E01011514,Leeds 025E,75.5422469040042,3.23214285714286,10,91.9917864476386,58.9322381930185,89.0143737166325,79.9794661190965
E01011515,Leeds 023D,159.029117561693,6.48958333333333,9,73.9219712525667,89.7330595482546,85.8316221765914,83.1622176591376
E01011516,Leeds 023E,415.887549936612,12.25,7,25.8726899383984,98.5626283367557,75.0513347022587,66.4955509924709
E01011517,Leeds 024B,593.261314826952,2.0703125,4,12.3203285420945,37.782340862423,44.2505133470226,31.45106091718
E01011518,Leeds 093A,76.171877097314,4.04166666666667,4,91.7864476386037,73.9219712525667,44.2505133470226,69.9863107460644
E01011519,Leeds 095A,462.330941758781,1.30113636363636,4,21.3552361396304,19.0965092402464,44.2505133470226,28.2340862422998
E01011520,Leeds 096A,182.809346867161,1.97321428571429,5,67.9671457905544,35.9342915811088,56.6735112936345,53.5249828884326
E01011521,Leeds 096B,248.545139122093,2.51077586206897,4,51.9507186858316,50.5133470225873,44.2505133470226,48.9048596851472
E01011522,Leeds 095B,300.88532877124,4.25,4,42.5051334702259,76.5913757700205,44.2505133470226,54.4490075290897
E01011523,Leeds 096C,296.33783346017,3.30729166666667,2,43.7371663244353,60.5749486652977,14.5790554414784,39.6303901437372
E01011524,Leeds 093B,232.875312179325,4.03125,4,55.0308008213552,73.7166324435318,44.2505133470226,57.6659822039699
E01011525,Leeds 095C,57.6188628571871,2.41477272727273,7,94.8665297741273,46.3039014373717,75.0513347022587,72.0739219712526
E01011526,Leeds 093C,518.984659924547,4,3,17.0431211498973,73.305954825462,29.2607802874743,39.8699520876112
E01011527,Leeds 096D,500.197023015332,0.322916666666667,3,18.2751540041068,3.28542094455852,29.2607802874743,16.9404517453799
