id,opportunity,percentile,cutoff,accessibility
E01011521,jobs,50,30,3525
E01011521,jobs,50,45,21250
E01011521,jobs,50,60,134610
E01011522,jobs,50,30,3300
E01011522,jobs,50,45,34200
E01011522,jobs,50,60,262995
E01011523,jobs,50,30,1975
E01011523,jobs,50,45,17350
E01011523,jobs,50,60,80225
E01011524,jobs,50,30,18100
E01011524,jobs,50,45,72375
E01011524,jobs,50,60,282755
E01011525,jobs,50,30,19750
E01011525,jobs,50,45,89175
E01011525,jobs,50,60,309035
E01011526,jobs,50,30,9100
E01011526,jobs,50,45,68475
E01011526,jobs,50,60,266480
E01011527,jobs,50,30,3225
E01011527,jobs,50,45,17500
E01011527,jobs,50,60,123845
E01011528,jobs,50,30,12325
E01011528,jobs,50,45,65525
E01011528,jobs,50,60,261935
E01011529,jobs,50,30,3225
E01011529,jobs,50,45,16875
E01011529,jobs,50,60,71240
E01011530,jobs,50,30,3725
E01011530,jobs,50,45,23050
E01011530,jobs,50,60,72275
E01011531,jobs,50,30,10500
E01011531,jobs,50,45,61275
E01011531,jobs,50,60,185730
E01011532,jobs,50,30,18675
E01011532,jobs,50,45,84525
E01011532,jobs,50,60,289185
E01011533,jobs,50,30,20350
E01011533,jobs,50,45,88025
E01011533,jobs,50,60,286410
E01011534,jobs,50,30,0
E01011534,jobs,50,45,0
E01011534,jobs,50,60,0
E01011535,jobs,50,30,3225
E01011535,jobs,50,45,21700
E01011535,jobs,50,60,99795
E01011536,jobs,50,30,700
E01011536,jobs,50,45,13500
E01011536,jobs,50,60,45730
E01011537,jobs,50,30,2050
E01011537,jobs,50,45,21975
E01011537,jobs,50,60,158260
E01011538,jobs,50,30,500
E01011538,jobs,50,45,3075
E01011538,jobs,50,60,21275
E01011540,jobs,50,30,9600
E01011540,jobs,50,45,46490
E01011540,jobs,50,60,196195
E01011541,jobs,50,30,15475
E01011541,jobs,50,45,54175
E01011541,jobs,50,60,174610
E01011545,jobs,50,30,10250
E01011545,jobs,50,45,35125
E01011545,jobs,50,60,116525
E01011546,jobs,50,30,2825
E01011546,jobs,50,45,19850
E01011546,jobs,50,60,53835
E01011547,jobs,50,30,16025
E01011547,jobs,50,45,53575
E01011547,jobs,50,60,174560
E01011548,jobs,50,30,575
E01011548,jobs,50,45,6950
E01011548,jobs,50,60,50845
E01011549,jobs,50,30,2425
E01011549,jobs,50,45,39150
E01011549,jobs,50,60,132945
E01011550,jobs,50,30,6125
E01011550,jobs,50,45,28200
E01011550,jobs,50,60,127070
E01011551,jobs,50,30,2050
E01011551,jobs,50,45,21975
E01011551,jobs,50,60,158260
E01011552,jobs,50,30,2575
E01011552,jobs,50,45,23375
E01011552,jobs,50,60,86730
E01011553,jobs,50,30,175
E01011553,jobs,50,45,12925
