LSOA21CD,LSOA21NM,dft_business_raw,dft_overall_raw,ptal_inspired_raw,cumulative_30min_raw,cumulative_45min_raw,cumulative_60min_raw,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,dft_overall_percentile,cumulative_30min_percentile,cumulative_60min_percentile,gap_dft_minus_ptal,gap_dft_minus_cumulative,gap_ptal_minus_cumulative,three_method_range
E01011342,Leeds 060C,71.82,76.25,61.9438740588638,15925,85870,276285,69.3018480492813,68.993839835729,61.8069815195072,64.8870636550308,69.8151950718686,63.0390143737166,0.30800821355237,7.49486652977413,7.18685831622176,7.49486652977413
E01011343,Leeds 061B,71.75,76.43,66.8035592060233,7825,130310,312555,68.3778234086242,75.3593429158111,68.993839835729,66.0164271047228,50.8213552361396,74.1273100616017,-6.98151950718686,-0.616016427104725,6.36550308008214,6.98151950718686
E01011344,Leeds 065A,73.58,83.28,82.5119780971937,72025,247045,351310,82.5462012320329,92.1971252566735,85.2156057494867,95.0718685831622,85.0102669404518,82.2381930184805,-9.65092402464066,-2.6694045174538,6.98151950718686,9.65092402464066
E01011345,Leeds 061C,72.87,79.96,68.2409308692676,24400,136295,294100,76.5913757700205,76.7967145790555,69.6098562628337,82.3408624229979,76.5913757700205,69.4045174537988,-0.205338809034913,6.98151950718686,7.18685831622177,7.18685831622177
E01011346,Leeds 060D,73.26,77.75,70.3285420944559,18500,173635,323855,80.4928131416838,79.8767967145791,75.7700205338809,73.7166324435318,72.0739219712526,76.7967145790555,0.616016427104725,4.72279260780287,4.10677618069815,4.72279260780287
E01011347,Leeds 065B,73.7,82.63,25.1882272416153,72225,225405,350830,83.5728952772074,14.0657084188912,82.3408624229979,93.6344969199179,85.4209445585216,81.7248459958932,69.5071868583162,1.23203285420945,-68.2751540041068,69.5071868583162
E01011348,Leeds 065C,74.58,82.31,85.6947296372348,73260,260660,369155,88.5010266940452,95.5852156057495,89.7330595482546,91.9917864476386,85.8316221765914,90.4517453798768,-7.0841889117043,-1.23203285420944,5.85215605749487,7.0841889117043
E01011349,Leeds 065D,75.76,83.41,74.6064339493498,78400,260285,382070,94.8665297741273,85.3182751540041,89.5277207392197,95.6878850102669,87.6796714579056,93.6344969199179,9.5482546201232,5.3388090349076,-4.2094455852156,9.5482546201232
E01011350,Leeds 034A,72.17,79.74,70.1574264202601,61595,214955,330195,71.8685831622177,79.3634496919918,80.9034907597536,81.3141683778234,83.1622176591376,78.2340862422998,-7.49486652977413,-9.03490759753593,-1.54004106776181,9.03490759753593
E01011351,Leeds 034B,71.44,78.71,63.4839151266256,12525,121295,289805,66.735112936345,71.5605749486653,68.1724845995893,75.9753593429158,63.4496919917865,67.5564681724846,-4.82546201232032,-1.43737166324435,3.38809034907597,4.82546201232032
E01011352,Leeds 034C,72.66,81.84,89.9383983572895,73445,250355,352770,74.9486652977413,98.1519507186858,87.0636550308008,89.7330595482546,86.0369609856263,82.9568788501027,-23.2032854209446,-12.1149897330595,11.088295687885,23.2032854209446
E01011353,Leeds 034D,71.3,76.54,6.91307323750856,13125,150795,302480,65.5030800821355,1.64271047227926,73.1006160164271,66.3244353182752,64.6817248459959,71.6632443531828,63.8603696098563,-7.59753593429159,-71.4579055441479,71.4579055441479
E01011354,Leeds 038A,70.32,75.09,21.047227926078,11070,136385,314720,57.5975359342916,9.85626283367557,69.8151950718686,58.5215605749487,60.5749486652977,74.7433264887064,47.741273100616,-12.217659137577,-59.958932238193,59.958932238193
E01011355,Leeds 038B,72.12,77.6,47.5701574264203,8320,152615,304890,71.3552361396304,47.8439425051335,73.5112936344969,73.1006160164271,52.5667351129363,72.0739219712526,23.5112936344969,-2.15605749486653,-25.6673511293635,25.6673511293635
E01011356,Leeds 042A,73.37,81.04,81.1088295687885,98900,280195,364610,81.4168377823409,91.4784394250513,94.2505133470226,86.9609856262834,89.5277207392197,87.6796714579056,-10.0616016427105,-12.8336755646817,-2.77207392197126,12.8336755646817
